value_stream,process_step,step_number,total_steps,step_percentage,cycle_time_hours,exceptions_count,rework_required_pct,data_quality_score,automation_level_pct,primary_system,process_health,optimization_opportunity,gmp_relevant
Procure to Pay (P2P),Supplier Selection,3,7,42.9,14.92,3,43.2,0.786,62.2,SAP ECC,Yellow,Improve Data Quality,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,0.81,5,16.5,0.968,72.6,SAP S/4HANA,Green,Automate Manual Steps,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,6.75,3,32.1,0.851,11.4,SAP S/4HANA,Green,System Integration,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,16.21,0,29.1,0.857,6.5,Cloud Platform,Yellow,Improve Data Quality,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,1.17,1,29.1,0.678,92.1,SAP ECC,Yellow,Process Streamlining,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,32.78,1,16.3,0.809,87.7,SAP S/4HANA,Green,Exception Handling,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,3.42,3,10.6,0.884,74.7,Legacy System,Green,Exception Handling,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,9.85,2,26.3,0.965,26.0,SAP S/4HANA,Green,Automate Manual Steps,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,5.59,2,41.3,0.971,37.1,SAP S/4HANA,Red,Exception Handling,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,2.44,1,36.5,0.844,50.7,Legacy System,Green,Exception Handling,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,3.76,3,26.5,0.787,9.9,Legacy System,Yellow,Exception Handling,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,2.84,2,11.0,0.867,82.4,Legacy System,Green,Exception Handling,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,17.44,3,13.5,0.762,65.5,Cloud Platform,Green,System Integration,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,2.31,2,62.2,0.76,37.7,Cloud Platform,Yellow,System Integration,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,6.82,0,11.9,0.901,34.1,SAP S/4HANA,Yellow,Process Streamlining,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,6.19,3,3.7,0.919,47.0,SAP S/4HANA,Red,Automate Manual Steps,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,1.51,2,20.6,0.776,58.8,Cloud Platform,Red,System Integration,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,3.3,4,14.6,0.838,92.9,SAP ECC,Yellow,Process Streamlining,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,4.91,0,2.7,0.944,8.1,Legacy System,Red,Improve Data Quality,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,4.57,2,5.4,0.822,65.0,Cloud Platform,Green,System Integration,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,4.69,0,4.0,0.924,76.2,SAP S/4HANA,Green,System Integration,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,4.77,1,9.9,0.687,72.6,SAP S/4HANA,Green,Improve Data Quality,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,0.93,2,30.1,0.932,43.6,SAP ECC,Yellow,Automate Manual Steps,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,12.02,0,3.8,0.881,28.8,SAP S/4HANA,Red,Improve Data Quality,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,2.28,1,21.3,0.902,14.3,Cloud Platform,Red,Automate Manual Steps,No
Procure to Pay (P2P),Goods Receipt,4,7,57.1,4.63,1,19.3,0.863,82.4,Legacy System,Red,System Integration,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,8.13,0,24.4,0.977,88.3,Cloud Platform,Red,System Integration,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,0.53,2,13.8,0.774,43.3,Legacy System,Green,System Integration,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,0.54,3,22.8,0.681,45.9,SAP S/4HANA,Red,Process Streamlining,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,2.28,1,13.2,0.65,66.7,SAP ECC,Red,Automate Manual Steps,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,4.74,2,28.3,0.684,87.3,Cloud Platform,Yellow,Exception Handling,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,0.39,3,21.7,0.867,17.9,Legacy System,Red,Process Streamlining,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,20.13,3,22.8,0.781,36.6,SAP ECC,Green,Exception Handling,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,6.22,5,7.2,0.574,76.8,SAP S/4HANA,Red,Process Streamlining,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,27.11,4,11.5,0.893,71.5,SAP ECC,Yellow,Exception Handling,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,1.94,1,33.7,0.767,38.8,SAP ECC,Red,System Integration,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,5.41,2,7.5,0.726,80.0,Cloud Platform,Green,Exception Handling,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,8.34,0,29.3,0.65,59.5,Cloud Platform,Yellow,System Integration,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,0.06,0,6.3,0.815,46.6,SAP S/4HANA,Green,Exception Handling,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,96.18,2,22.0,0.762,24.1,Cloud Platform,Yellow,System Integration,No
Procure to Pay (P2P),Invoice Matching,5,7,71.4,1.38,5,38.7,0.669,64.7,SAP S/4HANA,Yellow,Improve Data Quality,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,9.7,4,12.6,0.776,97.4,Legacy System,Red,Exception Handling,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,0.08,5,8.4,0.876,26.3,SAP S/4HANA,Green,Exception Handling,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,0.55,1,17.3,0.737,72.8,SAP S/4HANA,Red,Process Streamlining,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,4.54,0,28.8,0.981,48.4,SAP S/4HANA,Green,Improve Data Quality,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,3.36,2,13.5,0.96,10.0,SAP S/4HANA,Green,System Integration,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,10.67,3,13.1,0.911,5.7,Cloud Platform,Red,Improve Data Quality,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,8.17,1,22.0,0.896,99.0,Cloud Platform,Yellow,Process Streamlining,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,103.25,4,15.6,0.718,41.8,SAP ECC,Red,Automate Manual Steps,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,3.28,0,36.3,0.947,49.3,Cloud Platform,Yellow,Process Streamlining,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,5.76,1,34.3,0.97,72.3,SAP S/4HANA,Yellow,Process Streamlining,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,3.85,2,29.6,0.865,90.0,Cloud Platform,Green,Exception Handling,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,5.21,2,11.5,0.812,28.5,Cloud Platform,Green,System Integration,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,0.99,0,21.4,0.443,34.1,SAP S/4HANA,Red,Improve Data Quality,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,1.97,1,11.4,0.889,93.7,SAP S/4HANA,Red,Improve Data Quality,No
Procure to Pay (P2P),Three-Way Match,6,7,85.7,0.01,2,15.0,0.82,21.9,Legacy System,Red,Automate Manual Steps,No
Procure to Pay (P2P),Payment,7,7,100.0,2.55,1,15.3,0.927,14.9,Legacy System,Green,Improve Data Quality,No
Procure to Pay (P2P),Payment,7,7,100.0,2.14,5,33.0,0.839,14.6,SAP S/4HANA,Yellow,Process Streamlining,No
Procure to Pay (P2P),Payment,7,7,100.0,24.78,0,23.5,0.862,2.7,Cloud Platform,Yellow,System Integration,No
Procure to Pay (P2P),Payment,7,7,100.0,9.85,3,13.2,0.695,25.6,Legacy System,Yellow,Improve Data Quality,No
Procure to Pay (P2P),Payment,7,7,100.0,4.23,6,5.4,0.807,3.7,Cloud Platform,Red,Process Streamlining,No
Procure to Pay (P2P),Payment,7,7,100.0,10.9,2,57.5,0.849,81.7,SAP ECC,Green,Process Streamlining,No
Procure to Pay (P2P),Payment,7,7,100.0,1.04,3,23.0,0.758,0.7,Cloud Platform,Yellow,Automate Manual Steps,No
Procure to Pay (P2P),Payment,7,7,100.0,20.37,3,7.9,0.817,83.1,SAP ECC,Yellow,Exception Handling,No
Procure to Pay (P2P),Payment,7,7,100.0,1.07,1,21.0,0.901,81.4,Cloud Platform,Yellow,Exception Handling,No
Procure to Pay (P2P),Payment,7,7,100.0,5.59,3,14.2,0.978,52.8,SAP S/4HANA,Red,Improve Data Quality,No
Procure to Pay (P2P),Payment,7,7,100.0,0.52,2,19.4,0.824,45.6,Legacy System,Red,Exception Handling,No
Procure to Pay (P2P),Payment,7,7,100.0,0.16,0,4.8,0.81,27.3,SAP ECC,Red,System Integration,No
Procure to Pay (P2P),Payment,7,7,100.0,3.9,1,39.1,0.659,71.0,Cloud Platform,Yellow,System Integration,No
Procure to Pay (P2P),Payment,7,7,100.0,10.47,1,25.0,0.88,34.3,SAP ECC,Red,Process Streamlining,No
Procure to Pay (P2P),Payment,7,7,100.0,5.48,4,5.7,0.719,91.7,Cloud Platform,Red,Improve Data Quality,No
Plan to Manufacture (P2M),Demand Planning,1,8,12.5,18.22,2,27.9,0.847,8.7,Cloud Platform,Red,Exception Handling,Yes
