compliance_check,audit_schedule,last_audit_days_ago,days_to_next_audit,compliance_status,last_audit_findings,open_findings,finding_closure_rate_pct,regulatory_authority,risk_level,estimated_remediation_days,gxp_impact_area,transformation_dependency
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,303,8,Due Soon,2,1,81.0,Multiple,High,15,Manufacturing,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,140,20,Due Soon,3,0,100.0,Multiple,High,0,Quality,None
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,291,22,Due Soon,8,1,95.1,EMA,High,5,Quality,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,284,9,Due Soon,1,2,27.3,Multiple,High,5,Manufacturing,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,253,4,Due Soon,2,0,100.0,Multiple,High,0,Quality,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,135,78,Compliant,5,1,92.2,PMDA,Low,8,All,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,92,53,Scheduled,6,3,80.3,Multiple,Medium,17,Quality,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,253,141,Compliant,0,0,100.0,FDA,Low,0,Process,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,290,7,Due Soon,1,0,100.0,Multiple,High,0,Data Integrity,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,263,191,Compliant,7,3,83.1,FDA,Low,6,Data Integrity,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,75,0,Due Soon,0,0,100.0,PMDA,High,0,All,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,28,20,Due Soon,1,0,100.0,PMDA,High,0,Data Integrity,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,149,6,Due Soon,2,1,81.0,PMDA,High,22,Process,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,322,3,Due Soon,0,0,100.0,EMA,High,0,Manufacturing,None
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,166,139,Compliant,5,0,100.0,PMDA,Low,0,Data Integrity,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,274,12,Due Soon,0,0,100.0,PMDA,High,0,Quality,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,145,132,Compliant,5,2,84.3,PMDA,Low,20,All,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,53,20,Due Soon,0,2,-700.0,EMA,High,10,Quality,None
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,287,48,Scheduled,0,5,-1900.0,FDA,Medium,8,All,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,68,59,Scheduled,7,2,88.7,FDA,Medium,4,All,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,186,88,Compliant,2,0,100.0,EMA,Low,0,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,89,5,Due Soon,3,1,87.1,PMDA,High,15,Manufacturing,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,356,32,Scheduled,0,1,-300.0,EMA,Medium,3,Quality,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,67,53,Scheduled,0,2,-700.0,FDA,Medium,0,All,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,248,9,Due Soon,0,0,100.0,Multiple,High,0,Manufacturing,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Annual,338,16,Due Soon,1,0,100.0,FDA,High,0,All,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,34,5,Due Soon,3,1,87.1,PMDA,High,3,Manufacturing,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,106,308,Compliant,1,0,100.0,EMA,Low,0,Quality,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Annual,75,46,Scheduled,3,0,100.0,PMDA,Medium,0,Process,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,257,20,Due Soon,0,0,100.0,EMA,High,0,Process,None
FDA 21 CFR 211 - General Manufacturing Controls,Annual,297,50,Scheduled,1,2,27.3,FDA,Medium,0,Process,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,88,72,Compliant,0,0,100.0,FDA,Low,0,Manufacturing,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,188,7,Due Soon,9,1,95.6,EMA,High,2,All,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,195,90,Compliant,0,2,-700.0,Multiple,Low,2,Quality,None
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,58,104,Compliant,17,0,100.0,PMDA,Low,0,Manufacturing,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,70,266,Compliant,0,1,-300.0,Multiple,Low,9,Data Integrity,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,43,0,Due Soon,25,2,96.8,PMDA,High,5,All,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,234,9,Due Soon,3,2,74.2,PMDA,High,7,All,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,149,6,Due Soon,0,0,100.0,Multiple,High,0,Quality,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,348,30,Scheduled,1,2,27.3,PMDA,Medium,4,Quality,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,54,21,Due Soon,1,2,27.3,Multiple,High,0,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Annual,74,61,Compliant,2,3,42.9,Multiple,Low,5,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Annual,34,86,Compliant,0,1,-300.0,PMDA,Low,12,Quality,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,207,152,Compliant,2,0,100.0,FDA,Low,0,Quality,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,298,8,Due Soon,0,1,-300.0,PMDA,High,5,All,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,309,21,Due Soon,4,1,90.2,Multiple,High,8,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,233,18,Due Soon,6,0,100.0,FDA,High,0,Manufacturing,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,119,15,Due Soon,0,1,-300.0,EMA,High,0,Manufacturing,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,256,34,Scheduled,3,6,22.6,FDA,Medium,21,Quality,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,79,5,Due Soon,2,3,42.9,PMDA,High,1,Process,None
FDA 21 CFR 211 - General Manufacturing Controls,Annual,339,39,Scheduled,1,0,100.0,Multiple,Medium,0,All,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,255,84,Compliant,1,0,100.0,Multiple,Low,0,Process,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,277,5,Due Soon,6,2,86.9,FDA,High,10,Manufacturing,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,231,196,Compliant,0,0,100.0,PMDA,Low,0,All,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,17,1,Due Soon,7,1,94.4,EMA,High,9,Process,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,221,125,Compliant,7,1,94.4,EMA,Low,9,Data Integrity,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,57,24,Due Soon,1,0,100.0,Multiple,High,0,Process,None
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,244,7,Due Soon,3,0,100.0,EMA,High,0,Process,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,254,8,Due Soon,2,0,100.0,Multiple,High,0,Process,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,32,41,Scheduled,0,0,100.0,FDA,Medium,0,Process,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,179,93,Compliant,0,3,-1100.0,FDA,Low,3,Data Integrity,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Annual,177,219,Compliant,2,0,100.0,PMDA,Low,0,All,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Annual,126,338,Compliant,0,0,100.0,EMA,Low,0,Quality,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,353,1,Due Soon,7,0,100.0,FDA,High,0,Data Integrity,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,11,21,Due Soon,5,0,100.0,PMDA,High,0,Manufacturing,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,264,18,Due Soon,0,2,-700.0,Multiple,High,7,Data Integrity,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,12,18,Due Soon,2,0,100.0,PMDA,High,0,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,294,10,Due Soon,0,0,100.0,FDA,High,0,All,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,255,86,Compliant,6,0,100.0,PMDA,Low,0,Quality,None
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,224,46,Scheduled,7,0,100.0,EMA,Medium,0,All,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,148,3,Due Soon,2,0,100.0,PMDA,High,0,Manufacturing,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,116,6,Due Soon,1,0,100.0,FDA,High,0,Process,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,140,5,Due Soon,0,5,-1900.0,FDA,High,13,Process,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,108,13,Due Soon,3,0,100.0,PMDA,High,0,Manufacturing,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,222,4,Due Soon,7,0,100.0,PMDA,High,0,Quality,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,320,8,Due Soon,5,0,100.0,Multiple,High,0,Process,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,361,321,Compliant,1,8,-190.9,EMA,Low,5,Process,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,240,169,Compliant,6,0,100.0,PMDA,Low,0,Process,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,290,29,Due Soon,2,2,61.9,FDA,High,9,Process,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,76,59,Scheduled,3,0,100.0,EMA,Medium,0,Quality,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,164,13,Due Soon,0,0,100.0,FDA,High,0,Quality,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,331,36,Scheduled,2,2,61.9,EMA,Medium,4,Data Integrity,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,123,103,Compliant,2,2,61.9,FDA,Low,2,Quality,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,159,125,Compliant,6,4,73.8,Multiple,Low,0,All,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,332,13,Due Soon,0,0,100.0,FDA,High,0,Quality,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,15,17,Due Soon,4,0,100.0,PMDA,High,0,Data Integrity,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,22,164,Compliant,3,0,100.0,Multiple,Low,0,Manufacturing,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,309,160,Compliant,5,2,84.3,PMDA,Low,32,Manufacturing,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,337,85,Compliant,0,0,100.0,FDA,Low,0,All,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,293,28,Due Soon,0,0,100.0,FDA,High,0,Process,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,255,4,Due Soon,1,5,-81.8,FDA,High,17,Quality,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,169,160,Compliant,0,2,-700.0,Multiple,Low,1,Quality,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,55,36,Scheduled,0,2,-700.0,EMA,Medium,37,Quality,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,131,13,Due Soon,0,2,-700.0,FDA,High,19,All,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,58,89,Compliant,0,0,100.0,PMDA,Low,0,Process,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,127,21,Due Soon,3,2,74.2,PMDA,High,4,Quality,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,189,22,Due Soon,0,1,-300.0,PMDA,High,12,Manufacturing,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,28,339,Compliant,2,0,100.0,EMA,Low,0,Data Integrity,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,328,9,Due Soon,5,1,92.2,PMDA,High,20,Manufacturing,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,199,113,Compliant,8,2,90.1,FDA,Low,31,All,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,121,11,Due Soon,9,1,95.6,PMDA,High,13,Quality,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,163,20,Due Soon,3,1,87.1,Multiple,High,0,Manufacturing,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,242,251,Compliant,1,0,100.0,Multiple,Low,0,Data Integrity,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,358,82,Compliant,1,0,100.0,PMDA,Low,0,Process,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,309,53,Scheduled,7,0,100.0,PMDA,Medium,0,All,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,329,328,Compliant,0,1,-300.0,EMA,Low,2,All,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,103,205,Compliant,4,0,100.0,PMDA,Low,0,Data Integrity,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,81,56,Scheduled,1,3,-9.1,EMA,Medium,8,Process,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,164,6,Due Soon,6,0,100.0,Multiple,High,0,All,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,352,22,Due Soon,1,1,63.6,PMDA,High,0,Data Integrity,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,189,212,Compliant,0,0,100.0,EMA,Low,0,All,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,11,3,Due Soon,5,1,92.2,FDA,High,2,Process,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,237,22,Due Soon,0,4,-1500.0,EMA,High,0,Data Integrity,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,317,205,Compliant,2,1,81.0,Multiple,Low,12,Process,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,189,22,Due Soon,0,4,-1500.0,EMA,High,5,Process,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,223,269,Compliant,1,0,100.0,Multiple,Low,0,All,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,98,52,Scheduled,1,0,100.0,PMDA,Medium,0,Data Integrity,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,221,4,Due Soon,7,0,100.0,EMA,High,0,Process,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,97,86,Compliant,6,0,100.0,Multiple,Low,0,Quality,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,149,7,Due Soon,0,0,100.0,PMDA,High,0,Quality,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,128,29,Due Soon,2,1,81.0,PMDA,High,22,Process,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,241,5,Due Soon,3,0,100.0,EMA,High,0,Data Integrity,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,363,98,Compliant,0,3,-1100.0,Multiple,Low,23,Process,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,286,48,Scheduled,1,0,100.0,FDA,Medium,0,Manufacturing,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,182,120,Compliant,3,2,74.2,FDA,Low,7,Manufacturing,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,155,6,Due Soon,1,2,27.3,Multiple,High,2,Data Integrity,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,298,0,Due Soon,1,0,100.0,EMA,High,0,Data Integrity,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,174,7,Due Soon,0,4,-1500.0,Multiple,High,8,Quality,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,272,90,Compliant,4,0,100.0,Multiple,Low,0,Quality,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,23,160,Compliant,5,1,92.2,EMA,Low,0,All,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,145,55,Scheduled,6,0,100.0,PMDA,Medium,0,Process,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,224,5,Due Soon,1,0,100.0,EMA,High,0,Data Integrity,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,337,142,Compliant,0,0,100.0,Multiple,Low,0,Manufacturing,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,118,13,Due Soon,4,0,100.0,EMA,High,0,Manufacturing,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,362,20,Due Soon,1,1,63.6,Multiple,High,4,All,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,227,1,Due Soon,4,3,70.7,PMDA,High,0,Process,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,58,15,Due Soon,3,0,100.0,EMA,High,0,Manufacturing,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,146,104,Compliant,2,0,100.0,EMA,Low,0,Quality,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,340,72,Compliant,1,0,100.0,EMA,Low,0,Process,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,214,2,Due Soon,2,0,100.0,FDA,High,0,Quality,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,14,168,Compliant,0,6,-2300.0,PMDA,Low,3,Manufacturing,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,55,75,Compliant,2,0,100.0,PMDA,Low,0,Quality,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,363,235,Compliant,6,0,100.0,Multiple,Low,0,All,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,169,0,Due Soon,1,1,63.6,FDA,High,20,Process,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,67,72,Compliant,5,0,100.0,EMA,Low,0,Manufacturing,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,37,7,Due Soon,5,1,92.2,Multiple,High,45,Manufacturing,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,123,22,Due Soon,8,1,95.1,Multiple,High,13,Manufacturing,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,199,41,Scheduled,2,1,81.0,Multiple,Medium,1,Data Integrity,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,252,152,Compliant,0,0,100.0,Multiple,Low,0,Data Integrity,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,341,91,Compliant,10,0,100.0,FDA,Low,0,Data Integrity,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,229,125,Compliant,0,0,100.0,Multiple,Low,0,All,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,47,6,Due Soon,2,4,23.8,Multiple,High,12,Data Integrity,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,323,111,Compliant,0,4,-1500.0,Multiple,Low,0,Manufacturing,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,238,5,Due Soon,11,0,100.0,EMA,High,0,Quality,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,149,1,Due Soon,4,0,100.0,Multiple,High,0,All,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,77,9,Due Soon,8,0,100.0,EMA,High,0,Data Integrity,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,152,6,Due Soon,0,3,-1100.0,FDA,High,1,Process,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,56,262,Compliant,4,2,80.5,Multiple,Low,9,All,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,292,21,Due Soon,1,3,-9.1,PMDA,High,20,Data Integrity,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,258,1,Due Soon,1,0,100.0,FDA,High,0,Manufacturing,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,202,46,Scheduled,0,0,100.0,FDA,Medium,0,Manufacturing,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,301,40,Scheduled,2,3,42.9,Multiple,Medium,14,All,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,96,43,Scheduled,4,0,100.0,EMA,Medium,0,Quality,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Continuous,345,4,Due Soon,1,2,27.3,FDA,High,15,All,None
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,203,2,Due Soon,3,0,100.0,FDA,High,0,Manufacturing,System Upgrade
FDA 21 CFR 211.165 - Testing & Release Requirements,Monthly,355,14,Due Soon,2,0,100.0,Multiple,High,0,Process,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Quarterly,316,79,Compliant,0,1,-300.0,PMDA,Low,3,All,Data Governance
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,70,64,Compliant,7,0,100.0,FDA,Low,0,Quality,eBR Implementation
FDA 21 CFR 211.165 - Testing & Release Requirements,Annual,97,356,Compliant,2,2,61.9,FDA,Low,5,Quality,Process Automation
FDA 21 CFR 211.165 - Testing & Release Requirements,Semi-Annual,124,166,Compliant,5,1,92.2,Multiple,Low,25,Process,System Upgrade
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,238,154,Compliant,1,0,100.0,EMA,Low,0,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Annual,86,59,Scheduled,1,2,27.3,EMA,Medium,5,All,Process Automation
ICH Q9(R1) - Quality Risk Management (EffectiveJuly 2023),Monthly,231,0,Due Soon,0,0,100.0,EMA,High,0,Quality,Data Governance
