phase_name,start_month,end_month,phase_duration_months,value_driver_sequence,value_driver,expected_benefit,investment_usd,estimated_annual_benefit_usd,target_value_stream,regulatory_consideration,implementation_complexity,gmp_validation_required,change_control_needed
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,1,DCT (Decentralized Clinical Trial) Analytics,20% clinical cycle time reduction,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Very High,No,Yes
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,1,DCT (Decentralized Clinical Trial) Analytics,Improved trial recruitment,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Low,No,Yes
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,1,DCT (Decentralized Clinical Trial) Analytics,Enhanced PoS (Probability of Success),75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Very High,No,Yes
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,2,RWE (Real World Evidence) Integration,20% clinical cycle time reduction,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Medium,No,No
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,2,RWE (Real World Evidence) Integration,Improved trial recruitment,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",High,No,Yes
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,2,RWE (Real World Evidence) Integration,Enhanced PoS (Probability of Success),75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Low,No,Yes
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,3,AI/ML for Clinical Trial Design,20% clinical cycle time reduction,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Very High,No,No
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,3,AI/ML for Clinical Trial Design,Improved trial recruitment,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Medium,No,No
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,3,AI/ML for Clinical Trial Design,Enhanced PoS (Probability of Success),75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Low,No,No
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,4,DataOps/MLOps Framework,20% clinical cycle time reduction,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Very High,No,Yes
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,4,DataOps/MLOps Framework,Improved trial recruitment,75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",Very High,No,Yes
Phase 2: Data & AI in R&D (Months 4-9),4,9,6,4,DataOps/MLOps Framework,Enhanced PoS (Probability of Success),75000.0,262500.0,Idea to Market (I2M),"ICH E6, FDA guidance on ML/AI",High,No,No
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,1,Multi-Echelon Inventory Optimization,10-30% DIO reduction,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Low,Yes,Yes
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,1,Multi-Echelon Inventory Optimization,Supply risk mitigation,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Very High,Yes,No
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,1,Multi-Echelon Inventory Optimization,Improved OTIF to 95-97%,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Low,Yes,No
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,2,Supplier Portal & Collaboration,10-30% DIO reduction,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Very High,Yes,No
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,2,Supplier Portal & Collaboration,Supply risk mitigation,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Medium,Yes,Yes
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,2,Supplier Portal & Collaboration,Improved OTIF to 95-97%,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,High,Yes,Yes
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,3,Expiry Analytics & Prevention,10-30% DIO reduction,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,High,Yes,Yes
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,3,Expiry Analytics & Prevention,Supply risk mitigation,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Low,Yes,No
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,3,Expiry Analytics & Prevention,Improved OTIF to 95-97%,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,High,Yes,No
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,4,Demand Sensing,10-30% DIO reduction,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Low,Yes,No
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,4,Demand Sensing,Supply risk mitigation,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,High,Yes,Yes
Phase 3: Supply Chain & Inventory Optimization (Months 7-10),7,10,4,4,Demand Sensing,Improved OTIF to 95-97%,50000.0,175000.0,"Procure to Pay (P2P), Record to Report (R2R)",ICH Q9 - Availability Risk Management,Low,Yes,Yes
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,1,CRM Modernization,FCR ≥80%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Medium,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,1,CRM Modernization,CSAT ≥82-85%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Medium,No,Yes
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,1,CRM Modernization,SLA compliance ≥95%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Very High,No,Yes
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,2,Omnichannel Medical/Commercial Engagement,FCR ≥80%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Medium,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,2,Omnichannel Medical/Commercial Engagement,CSAT ≥82-85%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,High,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,2,Omnichannel Medical/Commercial Engagement,SLA compliance ≥95%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Very High,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,3,Knowledge Automation,FCR ≥80%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Low,No,Yes
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,3,Knowledge Automation,CSAT ≥82-85%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,High,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,3,Knowledge Automation,SLA compliance ≥95%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Very High,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,4,Self-Service Portal,FCR ≥80%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,Low,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,4,Self-Service Portal,CSAT ≥82-85%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,High,No,No
Phase 4: Customer & HCP Experience (Months 10-12),10,12,3,4,Self-Service Portal,SLA compliance ≥95%,37500.0,131250.0,"Order to Cash (O2C), Request to Service (R2S)",Compliance with promotional standards,High,No,Yes
